student_id,minutes_watched,certificates_issued
190803,978.52,5
268764,1941.10,6
265928,1656.52,7
259106,334.55,1
190394,89.30,1
219488,1399.17,5
267854,271.75,2
268714,561.08,3
193509,31.03,1
264472,195.53,1
160960,1116.02,4
19124,1868.85,2
159370,6464.82,11
156776,1558.35,3
259860,1595.12,5
176090,2779.98,6
254098,30.75,1
4640,586.80,1
256432,549.55,1
260572,426.80,2
5836,1903.12,3
9754,702.77,1
254310,1317.85,7
148372,225.20,3
801,6066.00,13
268331,2237.55,1
154092,1563.80,4
21229,138.12,1
264687,82.53,1
262599,296.07,1
187880,155.50,1
2022,115.37,1
261019,719.50,2
241632,977.67,3
254713,1835.53,8
156183,812.98,1
156206,3087.27,4
267064,1787.35,6
149652,1176.87,5
258636,687.77,3
213528,174.33,1
153235,423.28,1
268553,78.13,1
173105,342.10,3
253823,1089.60,4
264514,763.43,1
267898,1379.63,6
172619,1171.35,3
159336,501.23,2
260998,1906.50,15
268390,2009.38,13
264146,1809.10,7
238987,570.57,4
265250,1213.63,3
265967,1371.45,5
260649,323.22,2
156467,1557.32,6
235274,345.50,3
253574,1176.13,1
268866,441.78,2
16979,535.68,3
266758,1064.42,2
254759,336.60,1
156409,709.43,1
192420,451.13,3
89102,0.10,2
264761,127.97,1
257415,181.40,1
258141,351.82,1
269000,634.92,1
161380,2880.08,9
261590,864.22,4
268796,1844.53,9
269066,1832.58,4
6278,2181.32,2
234155,225.53,1
269047,349.65,1
269220,237.98,1
268989,1480.08,4
2731,508.50,2
263480,228.20,2
259494,113.58,1
147672,1214.30,6
15772,1110.18,4
263690,1030.07,4
265970,163.22,1
266614,819.33,4
254929,833.83,1
260754,1256.03,5
266041,168.17,1
260465,1228.20,4
261785,1445.70,3
248036,354.75,2
47183,895.48,3
156649,2343.28,6
267203,515.77,2
269843,513.47,1
263076,1315.42,6
200231,906.87,1
165285,1583.35,8
265878,636.08,3
59568,176.57,1
212463,3434.42,4
266112,5311.62,5
179118,118.13,1
268556,908.65,3
144397,1242.37,13
264253,337.07,1
156647,2355.20,2
260042,1700.32,8
269070,573.37,1
255271,222.08,1
204419,814.12,4
260168,935.27,2
268962,569.23,1
270022,548.57,4
261777,2779.63,10
2938,1444.78,1
265101,424.83,3
182,2018.87,7
235735,534.15,1
11353,1095.90,2
261756,1424.67,6
259429,507.32,4
150949,5249.05,8
267959,809.78,1
268825,1609.35,1
268805,1880.25,1
257384,630.03,4
268978,3002.23,4
261801,2338.62,11
147956,2288.98,13
14700,1657.05,35
256834,130.00,1
270363,255.42,1
268510,167.53,1
259504,2051.80,6
259174,281.50,1
150090,1499.27,2
259283,564.65,1
261802,361.07,1
254953,749.80,2
171738,772.27,4
240294,120.63,1
158034,363.25,1
170493,1078.97,8
185848,994.32,3
30872,1001.97,1
267916,2326.67,10
161844,703.60,1
268129,593.00,3
265003,1115.90,3
270042,1368.35,1
181800,362.12,1
3239,2335.58,6
262406,570.57,3
149195,2299.22,2
263293,995.50,3
261510,170.35,2
269646,1220.07,1
195508,2823.77,12
269671,465.35,2
1754,516.18,9
269570,569.80,2
269934,879.12,4
261883,426.72,1
266693,473.27,2
262459,1077.42,1
234596,773.77,1
261682,1501.77,4
199192,572.92,1
270700,611.55,1
179127,299.17,1
149787,163.82,1
256954,284.45,2
268357,1405.98,3
181083,225.72,1
238848,1924.93,7
267949,110.65,1
256703,1914.42,8
270240,694.68,2
3774,1798.07,2
3780,266.68,1
254553,1148.97,2
264476,1397.18,3
183978,2010.43,9
261466,1621.37,6
262569,395.40,1
270075,2588.00,7
270135,249.33,1
180668,127.53,1
266788,1288.00,5
196809,765.37,5
171585,49.57,1
265519,470.38,2
261212,1409.43,5
179203,2255.92,3
271035,1532.88,3
157198,2434.82,7
156407,1708.70,9
270179,536.13,2
171313,1449.70,3
172127,734.57,3
225955,363.37,1
262585,1220.98,2
3183,147.55,5
999,502.13,2
248414,427.03,3
269519,521.85,2
143561,2309.33,10
162497,1267.38,6
