student_id,minutes_watched,paid_in_q2
2622,15.87,0
2495,0.18,0
9387,13.43,0
27832,5.9,0
7334,153,0
26949,3.2,0
19741,0.42,0
22161,0.07,0
3495,0.08,0
11813,0.45,0
6864,6.02,0
2058,0.42,0
5683,6.57,0
1571,77.6,0
1067,0.27,0
8686,0.22,0
12701,0.1,0
3878,2.03,0
10902,0.23,0
13586,1.05,0
767,0.05,0
9031,1.55,0
6741,32.97,0
8641,24.15,0
3182,0.13,0
1151,122.35,0
8835,157.73,0
9806,14.13,0
1395,133.52,0
2185,965.85,0
13266,439.6,0
5094,1183.92,0
2984,648.25,0
2644,157.17,0
5750,0.38,0
4843,594.88,0
3107,27.43,0
2582,1577.52,0
3075,116.97,0
3030,50.2,0
902,34.62,0
11404,96.17,0
1481,30.05,0
12898,87.75,0
143655,6.63,0
144174,571.18,0
144355,25.15,0
6012,6.45,0
146929,2.33,0
156099,15.63,0
158250,9.65,0
158278,446.97,0
150906,37.1,0
158529,1.35,0
158315,42.72,0
158108,0.27,0
158612,0.52,0
4150,4.53,0
154765,99.53,0
157166,589.98,0
156795,18.32,0
151819,67.6,0
25359,1120.95,0
12246,1.45,0
147992,26.57,0
148628,160.75,0
156921,12.45,0
152138,11.35,0
12807,18.77,0
157568,0.07,0
148328,0.93,0
146675,1.45,0
74005,2.93,0
149323,0.25,0
39298,8.88,0
153235,0.13,0
145358,44.32,0
145561,20.87,0
157594,1.13,0
158021,0.05,0
149098,13.37,0
143721,33.4,0
4016,21.2,0
151900,58.25,0
158145,19.2,0
158129,62.4,0
157528,199.95,0
11345,0.37,0
158109,1.45,0
152427,0.92,0
156660,53.05,0
157839,2.45,0
152959,11.45,0
15478,50.05,0
158646,0.32,0
146401,1.67,0
156048,5.6,0
149977,23.33,0
157502,5.05,0
158563,13.98,0
157800,23.92,0
153108,8.98,0
4818,33.58,0
149042,51.03,0
156887,0.05,0
150823,1.03,0
1543,8.18,0
14383,0.32,0
153930,0.2,0
8431,1.62,0
156542,0.45,0
147849,16.53,0
154291,11.38,0
7421,0.48,0
152241,6.77,0
1883,0.83,0
156645,0.52,0
157517,72.72,0
151021,68.75,0
154735,33.58,0
156894,75.08,0
152188,2.97,0
156575,47.63,0
8877,0.18,0
149601,14.8,0
158659,169.58,0
148060,55.52,0
152523,25.72,0
13621,0.15,0
22083,71.82,0
156767,14.77,0
158243,5.37,0
154358,8.27,0
150745,846.68,0
77476,36.55,0
156758,2.43,0
144397,37.23,0
156614,9.65,0
157976,16.77,0
157192,0.2,0
149883,0.42,0
156183,0.05,0
144023,16.92,0
149790,0.38,0
154869,20.02,0
155900,6.4,0
148849,0.87,0
153745,6.1,0
148133,23.67,0
