purchase_id,student_id,plan_id,date_start,date_end,paid_q2_2021,paid_q2_2022
2,139664,0,1/27/2020,2/27/2020,0,0
4,6366,2,1/28/2020,1/28/2021,0,0
6,24897,0,1/29/2020,2/29/2020,0,0
9,31627,0,1/29/2020,2/29/2020,0,0
10,72381,0,1/31/2020,2/29/2020,0,0
11,26416,0,1/31/2020,2/29/2020,0,0
12,4698,0,1/31/2020,2/29/2020,0,0
13,2622,2,2/1/2020,2/1/2021,0,0
14,2714,2,2/1/2020,2/1/2021,0,0
15,23694,0,2/2/2020,3/2/2020,0,0
16,2851,2,2/2/2020,2/2/2021,0,0
17,22735,0,2/2/2020,3/2/2020,0,0
18,135384,0,2/3/2020,3/3/2020,0,0
21,3755,2,2/4/2020,2/4/2021,0,0
22,3630,2,2/4/2020,2/4/2021,0,0
24,12387,0,2/5/2020,3/5/2020,0,0
25,6899,2,2/5/2020,2/5/2021,0,0
26,135382,0,2/7/2020,3/7/2020,0,0
27,135383,0,2/7/2020,3/7/2020,0,0
28,3565,2,2/8/2020,2/8/2021,0,0
29,35511,0,2/8/2020,3/8/2020,0,0
30,51952,0,2/8/2020,3/8/2020,0,0
31,9101,2,2/9/2020,2/9/2021,0,0
32,3783,2,2/9/2020,2/9/2021,0,0
33,139837,0,2/10/2020,3/10/2020,0,0
34,139836,0,2/11/2020,3/11/2020,0,0
36,139815,0,2/11/2020,3/11/2020,0,0
37,2481,2,2/11/2020,2/11/2021,0,0
38,139775,2,2/11/2020,2/11/2021,0,0
39,43313,0,2/13/2020,3/13/2020,0,0
40,5235,2,2/14/2020,2/14/2021,0,0
41,2633,2,2/14/2020,2/14/2021,0,0
42,36407,0,2/14/2020,3/14/2020,0,0
43,111756,0,2/15/2020,3/15/2020,0,0
44,109048,0,2/15/2020,3/15/2020,0,0
45,19477,2,2/15/2020,2/15/2021,0,0
46,5325,2,2/15/2020,2/15/2021,0,0
47,23811,2,2/16/2020,2/16/2021,0,0
48,94985,0,2/16/2020,3/16/2020,0,0
49,19342,2,2/16/2020,2/16/2021,0,0
50,134790,2,2/17/2020,2/17/2021,0,0
51,100885,0,2/17/2020,3/17/2020,0,0
52,2377,2,2/17/2020,2/17/2021,0,0
53,57432,0,2/17/2020,3/17/2020,0,0
54,138863,0,2/17/2020,3/17/2020,0,0
55,32002,0,2/17/2020,3/17/2020,0,0
56,2704,2,2/18/2020,2/18/2021,0,0
57,139757,0,2/18/2020,3/18/2020,0,0
58,108763,0,2/18/2020,3/18/2020,0,0
59,104986,0,2/18/2020,3/18/2020,0,0
60,135381,0,2/18/2020,3/18/2020,0,0
61,6643,0,2/18/2020,3/18/2020,0,0
62,1544,2,2/18/2020,2/18/2021,0,0
63,4685,2,2/19/2020,2/19/2021,0,0
64,134839,0,2/19/2020,3/19/2020,0,0
65,21966,0,2/19/2020,3/19/2020,0,0
66,28074,0,2/19/2020,3/19/2020,0,0
67,5339,2,2/19/2020,2/19/2021,0,0
68,14303,0,2/20/2020,3/20/2020,0,0
69,25401,0,2/21/2020,3/21/2020,0,0
70,12142,2,2/21/2020,2/21/2021,0,0
71,18240,0,2/22/2020,3/22/2020,0,0
72,8081,2,2/22/2020,2/22/2021,0,0
73,1698,2,2/22/2020,2/22/2021,0,0
74,3120,2,2/22/2020,2/22/2021,0,0
75,139312,0,2/23/2020,3/23/2020,0,0
76,22300,0,2/23/2020,3/23/2020,0,0
77,1521,2,2/23/2020,2/23/2021,0,0
78,12092,0,2/24/2020,3/24/2020,0,0
79,134798,0,2/24/2020,3/24/2020,0,0
80,134799,0,2/24/2020,3/24/2020,0,0
82,109870,0,2/25/2020,3/25/2020,0,0
83,7100,0,2/25/2020,3/25/2020,0,0
84,10194,2,2/25/2020,2/25/2021,0,0
85,14543,0,2/25/2020,3/25/2020,0,0
86,19018,0,2/26/2020,3/26/2020,0,0
87,134801,0,2/26/2020,3/26/2020,0,0
88,19784,2,2/27/2020,2/27/2021,0,0
89,32237,2,2/27/2020,2/27/2021,0,0
90,65759,2,2/27/2020,2/27/2021,0,0
91,134803,0,2/27/2020,3/27/2020,0,0
92,10131,0,2/27/2020,3/27/2020,0,0
93,34293,0,2/28/2020,3/28/2020,0,0
94,134806,0,2/28/2020,3/28/2020,0,0
95,7548,2,2/28/2020,2/28/2021,0,0
96,19979,0,2/28/2020,3/28/2020,0,0
97,24246,0,2/29/2020,3/29/2020,0,0
